Season,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr
1977,1,Portland Trail Blazers,24.5,49,33,55,27,5.59,-0.20,5.39,103.2,98.0,+5.2,108.0,.334
1977,2,Denver Nuggets,27.3,50,32,54,28,5.22,-0.27,4.95,100.7,96.1,+4.6,111.2,.373
1977,3,Philadelphia 76ers,25.6,50,32,51,31,3.94,-0.16,3.78,101.2,97.6,+3.6,108.3,.373
1977,4,Golden State Warriors,25.8,46,36,49,33,3.22,-0.12,3.10,102.4,99.5,+2.9,107.8,.277
1977,5,Los Angeles Lakers,27.2,53,29,48,34,2.72,-0.08,2.64,101.4,98.9,+2.5,104.7,.253
1977,6,Houston Rockets,25.8,49,33,45,37,1.61,-0.17,1.44,104.5,102.9,+1.6,101.3,.287
1977,7,Cleveland Cavaliers,27.4,43,39,44,38,1.12,-0.04,1.08,100.0,98.9,+1.1,101.5,.259
1977,8,Washington Bullets,27.4,48,34,44,38,1.02,-0.12,0.90,99.3,98.4,+0.9,105.9,.303
1977,9,Kansas City Kings,25.9,40,42,43,39,0.88,0.05,0.93,100.5,99.6,+0.9,106.4,.277
1977,10,Chicago Bulls,26.1,44,38,44,38,0.90,0.02,0.92,98.3,97.4,+0.9,100.0,.300
1977,11,Phoenix Suns,26.6,34,48,43,39,0.73,-0.09,0.64,98.1,97.5,+0.6,106.6,.323
1977,12,San Antonio Spurs,25.8,44,38,43,39,0.61,-0.08,0.53,102.5,102.0,+0.5,111.8,.329
1977,13,New York Knicks,27.8,40,42,41,41,-0.01,0.03,0.01,100.1,100.1,0.0,108.1,.276
1977,14,Detroit Pistons,25.8,44,38,38,44,-1.04,0.04,-1.00,100.3,101.3,-1.0,108.8,.252
1977,15,Seattle SuperSonics,25.0,40,42,37,45,-1.55,0.12,-1.43,96.7,98.2,-1.5,106.8,.312
1977,16,Indiana Pacers,25.6,36,46,36,46,-1.77,0.09,-1.68,99.3,101.0,-1.7,107.1,.293
1977,17,Boston Celtics,28.7,44,38,36,46,-1.98,0.08,-1.90,96.5,98.3,-1.8,107.5,.281
1977,18,New Orleans Jazz,26.1,35,47,33,49,-2.82,0.13,-2.68,97.0,99.7,-2.7,107.2,.287
1977,19,Milwaukee Bucks,25.0,30,52,33,49,-3.12,0.13,-2.99,100.0,102.9,-2.9,108.3,.264
1977,20,Atlanta Hawks,24.5,31,51,30,52,-4.06,0.19,-3.87,97.8,101.6,-3.8,104.6,.342
1977,21,Buffalo Braves,25.8,30,52,29,53,-4.44,0.16,-4.28,97.6,101.8,-4.2,107.3,.333
1977,22,New York Nets,25.8,22,60,23,59,-6.78,0.24,-6.54,92.2,98.7,-6.5,103.7,.315
1978,1,Portland Trail Blazers,25.3,58,24,57,25,6.15,-0.23,5.92,103.1,97.2,+5.9,104.2,.307
1978,2,Philadelphia 76ers,26.2,55,27,54,28,5.15,-0.27,4.87,105.0,100.3,+4.7,108.4,.383
1978,3,Phoenix Suns,25.5,49,33,51,31,3.73,-0.24,3.50,100.3,97.0,+3.3,111.4,.297
1978,4,San Antonio Spurs,26.9,52,30,49,33,3.35,-0.15,3.20,104.5,101.4,+3.1,109.0,.294
1978,5,Los Angeles Lakers,25.8,45,37,48,34,2.67,-0.08,2.59,103.3,100.8,+2.5,106.1,.273
1978,6,Seattle SuperSonics,26.0,47,35,45,37,1.55,-0.06,1.48,99.2,97.7,+1.5,104.8,.305
1978,7,Washington Bullets,27.4,44,38,43,39,0.93,-0.10,0.82,101.3,100.5,+0.8,108.1,.342
1978,8,Denver Nuggets,25.2,48,34,43,39,0.83,-0.03,0.80,102.3,101.5,+0.8,108.5,.364
1978,9,Cleveland Cavaliers,27.8,43,39,42,40,0.48,-0.04,0.44,99.9,99.4,+0.5,103.5,.275
1978,10,Golden State Warriors,26.6,43,39,42,40,0.34,0.07,0.41,99.6,99.3,+0.3,106.0,.272
1978,11,Atlanta Hawks,25.0,41,41,41,41,-0.13,0.01,-0.13,99.7,99.8,-0.1,103.3,.319
1978,12,New York Knicks,27.0,43,39,40,42,-0.55,0.02,-0.53,101.7,102.2,-0.5,109.7,.284
1978,13,Milwaukee Bucks,23.8,44,38,40,42,-0.59,-0.01,-0.59,101.8,102.4,-0.6,108.7,.282
1978,14,Chicago Bulls,26.5,40,42,39,43,-0.89,0.10,-0.79,102.0,102.9,-0.9,101.5,.351
1978,15,Detroit Pistons,25.9,38,44,38,44,-1.24,0.03,-1.22,100.3,101.5,-1.2,107.7,.335
1978,16,Kansas City Kings,26.1,31,51,36,46,-1.89,0.13,-1.76,100.5,102.2,-1.7,108.2,.293
1978,17,New Orleans Jazz,26.7,39,43,36,46,-1.87,0.06,-1.80,98.9,100.6,-1.7,108.3,.302
1978,18,Boston Celtics,29.7,32,50,36,46,-1.95,0.09,-1.86,99.1,100.9,-1.8,105.9,.283
1978,19,Indiana Pacers,24.7,31,51,35,47,-2.50,0.13,-2.37,99.6,101.9,-2.3,108.2,.329
1978,20,Buffalo Braves,27.1,27,55,31,51,-3.74,0.19,-3.55,100.3,103.8,-3.5,104.3,.316
1978,21,Houston Rockets,25.4,28,54,30,52,-4.00,0.17,-3.83,102.2,106.1,-3.9,101.3,.247
1978,22,New Jersey Nets,25.5,24,58,26,56,-5.82,0.21,-5.61,95.0,100.2,-5.2,110.9,.288
1979,1,Washington Bullets,28.2,54,28,53,29,4.99,-0.24,4.75,107.4,102.7,+4.7,106.5,.308
1979,2,San Antonio Spurs,27.3,48,34,53,29,5.18,-0.21,4.97,107.1,102.4,+4.7,110.6,.312
1979,3,Phoenix Suns,25.5,50,32,50,32,3.70,-0.15,3.55,105.7,102.4,+3.3,108.5,.306
1979,4,Los Angeles Lakers,27.2,47,35,49,33,3.06,-0.12,2.95,106.1,103.2,+2.9,105.9,.282
