Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
1,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
1,1,Chicago Bulls*,26.9,61,21,63,19,9.10,-0.53,8.57,114.6,105.2,+9.4,95.6,.296,.060,.560,NA,.521,12.8,34.7,.225,NA,.488,15.3,68.8,.226,NA,Chicago Stadium,"757,745","18,480"
1,2,Portland Trail Blazers*,27.9,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,+8.5,100.5,.344,.123,.554,NA,.509,13.4,33.8,.259,NA,.473,14.4,70.4,.250,NA,Memorial Coliseum,"528,244","12,884"
1,3,Los Angeles Lakers*,28.4,58,24,59,23,6.74,-0.01,6.73,112.1,105.0,+7.1,94.1,.327,.108,.551,NA,.500,13.2,33.0,.261,NA,.474,12.8,68.3,.176,NA,Great Western Forum,"682,024","17,076"
1,4,Phoenix Suns*,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,+6.5,101.0,.372,.060,.558,NA,.506,13.5,33.0,.287,NA,.474,13.1,68.5,.227,NA,Arizona Veterans Memorial Coliseum,"589,591","14,487"
1,5,Boston Celtics*,28.2,56,26,56,26,5.82,-0.60,5.22,112.6,106.7,+5.9,98.5,.277,.048,.565,NA,.520,14.0,33.0,.228,NA,.465,11.7,69.3,.217,NA,Boston Garden,"611,537","14,890"
1,6,San Antonio Spurs*,26.0,55,27,53,29,4.51,-0.21,4.30,107.8,103.3,+4.5,98.6,.352,.043,.544,NA,.494,15.2,33.3,.269,NA,.463,13.2,70.3,.228,NA,HemisFair Arena,"651,965","15,926"
1,7,Detroit Pistons*,30.5,50,32,50,32,3.27,-0.19,3.08,108.2,104.6,+3.6,91.9,.322,.064,.523,NA,.474,13.1,34.7,.245,NA,.464,12.8,71.0,.248,NA,The Palace of Auburn Hills,"879,614","21,454"
1,8,Utah Jazz*,28.7,54,28,50,32,3.33,-0.15,3.18,108.6,105.1,+3.5,95.3,.378,.070,.559,NA,.503,14.6,27.6,.298,NA,.473,13.7,69.2,.230,NA,Salt Palace,"514,751","12,616"
1,9,Houston Rockets*,27.3,52,30,50,32,3.50,-0.23,3.27,107.4,103.9,+3.5,98.5,.302,.136,.530,NA,.489,14.5,34.4,.224,NA,.469,14.7,66.9,.220,NA,The Summit,"613,230","14,711"
1,10,Milwaukee Bucks*,29.3,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,+2.5,96.1,.323,.108,.550,NA,.499,14.3,31.8,.258,NA,.500,16.4,66.1,.259,NA,Bradley Center,"673,687","16,480"
1,11,Golden State Warriors*,26.5,44,38,45,37,1.63,0.09,1.72,111.9,110.3,+1.6,103.6,.376,.109,.559,NA,.504,13.7,31.0,.294,NA,.497,15.2,64.1,.289,NA,Oakland-Alameda County Coliseum Arena,"616,025","15,049"
1,12,Seattle SuperSonics*,26.2,41,41,44,38,1.23,0.08,1.31,109.7,108.5,+1.2,96.2,.301,.060,.542,NA,.501,14.8,36.3,.226,NA,.503,16.0,66.3,.277,NA,Seattle Center Coliseum,"501,250","12,217"
1,13,Atlanta Hawks*,29.0,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,+0.8,98.6,.352,.116,.540,NA,.482,12.9,33.1,.282,NA,.509,13.7,69.1,.220,NA,Omni Coliseum,"529,161","12,907"
1,14,New York Knicks*,28.1,39,43,40,42,-0.23,-0.20,-0.43,107.1,107.3,-0.2,95.0,.315,.082,.544,NA,.498,15.1,31.1,.242,NA,.489,13.4,68.5,.205,NA,Madison Square Garden (IV),"654,962","15,975"
